ParcelId,OldLand,OldBuilding,OldTotal,NewLand,NewBuilding,NewTotal,NBHD
R72 00000 8000,0,184102170,184102170,0,0,0,99999999
R72 00000 8001,0,30219140,30219140,0,0,0,99999999
R72 00000 8103,0,0,0,0,0,0,99999999
R72 00000 8200,0,0,0,0,0,0,99999999
R72 00000 8202,0,0,0,0,0,0,99999999
R72 00000 8203,0,0,0,0,0,0,99999999
R72 00000 8236,0,0,0,0,0,0,99999999
R72 00000 8244,0,0,0,0,0,0,99999999
R72 00000 8247,0,0,0,0,0,0,99999999
R72 00000 8254,0,0,0,0,0,0,99999999
R72 00000 8262,53910,0,53910,53910,0,53910,99999999
R72 00000 8712,!,!,!
R72 00000 8713,!,!,!
R72 00000 8740,0,7140,7140,0,0,0,99999999
R72 00000 8880,282430,0,282430,282430,0,282430,99999999
R72 00000 9010,!,!,!
R72 00101 0001,220,0,220,220,0,220,C1500000
R72 00101 0002,220,0,220,220,0,220,C1500000
R72 00101 0003,220,0,220,220,0,220,C1500000
R72 00102 0006,!,!,!
R72 00102 0007,!,!,!
R72 00102 0008,!,!,!
R72 00102 0009,!,!,!
R72 00102 0010,!,!,!
R72 00102 0011,!,!,!
R72 00102 0012,!,!,!
R72 00102 0013,!,!,!
R72 00102 0014,!,!,!
R72 00102 0015,!,!,!
R72 00102 0016,!,!,!
R72 00102 0017,!,!,!
R72 00102 0018,!,!,!
R72 00102 0019,220,0,220,220,0,220,C1500000
R72 00102 0039,!,!,!
R72 00102 0040,!,!,!
R72 00102 0041,!,!,!
R72 00102 0042,!,!,!
R72 00103 0022,780910,63200,844110,328040,24210,352250,C1500000
R72 00103 0061,155280,12580,167860,37420,0,37420,C1500000
R72 00103 0062,!,!,!
R72 00103 0063,!,!,!
R72 00104 0005,93750,493370,587120,60000,338920,398920,C1500000
R72 00104 0006,95000,0,95000,60800,0,60800,C1500000
R72 00104 0007,95000,7060,102060,60800,9130,69930,C1500000
R72 00104 0008,145000,10450,155450,92800,13500,106300,C1500000
R72 00104 0010,437500,1057220,1494720,280000,777730,1057730,C1500000
R72 00104 0021,107930,10370,118300,51040,13400,64440,C1500000
R72 00104 0036,483530,474260,957790,309430,828210,1137640,C1500000
R72 00104 0041,231250,323950,555200,148000,430590,578590,C1500000
R72 00104 0043,103800,7150,110950,77900,9240,87140,C1500000
R72 00104 0044,101060,6980,108040,75840,9020,84860,C1500000
R72 00104 0045,50650,3770,54420,38010,4870,42880,C1500000
R72 00104 0046,50650,3770,54420,13570,4870,18440,C1500000
R72 00104 0047,100730,3560,104290,53720,4600,58320,C1500000
R72 00104 0048,0,0,0,0,0,0,99999999
R72 00104 0054,18960,0,18960,10110,0,10110,C1500000
R72 00104 0055,4740,0,4740,2530,0,2530,C1500000
R72 00104 0058,17310,830,18140,9230,1080,10310,C1500000
R72 00104 0059,!,!,!
R72 00107 0001,492000,829320,1321320,240000,805940,1045940,C1500000
R72 00107 0003,884000,31580,915580,442000,40820,482820,C1500000
R72 00107 0013,500350,1109910,1610260,307910,2868690,3176600,C1500000
R72 00107 0014,630190,1683190,2313380,307410,1461110,1768520,C1500000
R72 00108 0002,1434540,56223220,57657760,573820,33790180,34364000,C1500000
R72 00108 0003,863480,3914020,4777500,460520,4036770,4497290,C1500000
R72 00108 0005,1251610,15967750,17219360,600770,13562980,14163750,C1500000
R72 00108 0008,1585150,35643710,37228860,1268120,71381910,72650030,C1500000
R72 00110 0001,1711010,20800700,22511710,1259040,22978850,24237890,C1500000
R72 00110 0002,!,!,!
R72 00110 0003,!,!,!
R72 00111 0001,28060,142330,170390,17850,197860,215710,C5000000
R72 00111 0002,36490,448570,485060,200000,399800,599800,C5000000
R72 00111 0003,43200,41000,84200,132290,13410,145700,C5000000
R72 00111 0004,6800,0,6800,6040,0,6040,C5000000
R72 00111 0005,5680,0,5680,5050,0,5050,C5000000
R72 00111 0006,40760,78280,119040,126800,30420,157220,C5000000
R72 00111 0008,!,!,!
R72 00111 0009,!,!,!
R72 00201 0001,490050,643100,1133150,3920,1662180,1666100,C1500000
R72 00201 0002,468850,0,468850,345710,0,345710,C1500000
R72 00201 0003,980210,1354760,2334970,626400,827890,1454290,C1500000
R72 00201 0010,441700,0,441700,352840,0,352840,C1500000
R72 00201 0011,321470,0,321470,196020,0,196020,C1500000
R72 00201 0012,662560,0,662560,529250,0,529250,C1500000
R72 00201 0014,87430,0,87430,69840,0,69840,C1500000
R72 00201 0015,87430,0,87430,69840,0,69840,C1500000
R72 00201 0016,261910,4314010,4575920,209210,3545620,3754830,C1500000
R72 00202 0001,215030,9630,224660,229020,16750,245770,C1500000
R72 00202 0003,464820,753770,1218590,487150,1168920,1656070,C1500000
R72 00202 0006,558560,16690,575250,467090,21300,488390,C1500000
R72 00202 0010,99450,87830,187280,83160,91990,175150,C1500000
R72 00202 0012,101480,142240,243720,59400,208840,268240,C1500000
R72 00202 0014,0,45949100,45949100,0,43835000,43835000,C1500000
R72 00202 0025,34500,0,34500,27600,0,27600,C1500000
R72 00202 0027,588060,0,588060,470450,0,470450,C1500000
R72 00202 0037,305040,228930,533970,178560,455800,634360,C1500000
R72 00202 9014,784080,0,784080,627260,0,627260,C1500000
R72 00203 0001,100000,0,100000,57750,0,57750,C1500000
R72 00203 0002,250000,0,250000,200940,0,200940,C1500000
R72 00203 0004,100000,0,100000,138000,0,138000,C1500000
R72 00203 0005,100000,0,100000,189220,0,189220,C1500000
R72 00203 0008,370400,464260,834660,218060,1877290,2095350,C1500000
R72 00203 0009,287100,252390,539490,277200,280290,557490,C1500000
R72 00203 0011,1066620,3807110,4873730,514920,4181960,4696880,C1500000
R72 00203 0013,322190,3197640,3519830,155540,3545040,3700580,C1500000
R72 00203 0015,181270,31470,212740,152460,41400,193860,C1500000
R72 00203 0018,42990,184140,227130,20970,185020,205990,C1500000
R72 00203 0019,4520,0,4520,2660,0,2660,C1500000
R72 00203 8001,0,6300000,6300000,0,2810000,2810000,C1500000
R72 00204 0001,872930,0,872930,766480,0,766480,C1500000
R72 00204 0004,441450,0,441450,42380,0,42380,C1500000
R72 00204 0005,763510,2096100,2859610,588070,2259870,2847940,C1500000
R72 00204 0009,735100,0,735100,352850,0,352850,C1500000
R72 00204 0011,3109180,1057750,4166930,1148000,1308630,2456630,C1500000
R72 00204 0015,565150,0,565150,271270,0,271270,C1500000
R72 00204 0017,582200,1538970,2121170,340800,1328700,1669500,C1500000
R72 00204 3001,0,910050,910050,0,910050,910050,C1500000
R72 00205 0001,371250,4876540,5247790,178200,3333330,3511530,C1500000
R72 00205 0003,712350,0,712350,292250,0,292250,C1500000
R72 00205 0005,0,307370,307370,0,237970,237970,C1500000
R72 00205 0008,150000,150000,300000,158780,116020,274800,C1500000
R72 00205 0011,125100,21210,146310,89940,252060,342000,C1500000
R72 00205 0012,145000,469780,614780,86870,27930,114800,C1500000
R72 00205 0013,478100,124800,602900,248360,339690,588050,C1500000
R72 00205 0021,163180,0,163180,95520,0,95520,C1500000
R72 00205 0022,2029580,1532420,3562000,1228390,7860970,9089360,C1500000
R72 00205 0035,157730,477290,635020,92860,61580,154440,C1500000
R72 00205 9005,980100,1150870,2130970,470450,1095000,1565450,C1500000
R72 00206 0015,145550,199040,344590,71000,269350,340350,C1500000
R72 00206 0023,185030,7100,192130,141830,9170,151000,C1500000
R72 00206 0026,137630,8680,146310,189900,5380,195280,C1500000
R72 00206 0027,100450,183110,283560,49000,194420,243420,C1500000
R72 00206 0028,70320,4380,74700,49000,5670,54670,C1500000
R72 00206 0029,159300,9520,168820,111010,12310,123320,C1500000
R72 00206 0030,630,330,960,770,420,1190,C1500000
R72 00206 0031,140420,267440,407860,76110,443290,519400,C1500000
R72 00206 0032,157080,202380,359460,85140,257210,342350,C1500000
R72 00206 0034,26120,17790,43910,12740,26030,38770,C1500000
R72 00206 0036,123660,501230,624890,60320,1213370,1273690,C1500000
R72 00206 0041,59180,54070,113250,28870,72260,101130,C1500000
R72 00206 0046,!,!,!
R72 00207 0001,87510,223180,310690,42690,196970,239660,C1500000
R72 00207 0005,55250,3810,59060,38500,4930,43430,C1500000
R72 00207 0043,39110,2540,41650,19080,33620,52700,C1500000
R72 00207 0055,79380,94390,173770,55320,91620,146940,C1500000
R72 00207 0058,73620,5810,79430,51300,7240,58540,C1500000
R72 00207 0059,45410,0,45410,40800,0,40800,3100LITE
R72 00207 0060,38020,0,38020,31300,0,31300,3100LITE
R72 00207 0061,45410,0,45410,40800,0,40800,3100LITE
R72 00207 0062,39070,0,39070,35640,0,35640,3100LITE
R72 00207 0063,44350,0,44350,39940,218540,258480,3100LITE
R72 00207 0064,30400,0,30400,31300,0,31300,3100LITE
R72 00207 0065,44350,0,44350,39940,0,39940,3100LITE
R72 00207 0066,38020,0,38020,31300,0,31300,3100LITE
R72 00207 0067,45410,0,45410,40800,0,40800,3100LITE
R72 00207 0068,0,0,0,0,0,0,99999999
R72 00207 0069,!,!,!
R72 00207 0070,!,!,!
R72 00207 0071,!,!,!
R72 00207 0072,!,!,!
R72 00207 0073,!,!,!
R72 00207 0074,!,!,!
R72 00207 0075,!,!,!
R72 00207 0076,!,!,!
R72 00207 0077,!,!,!
R72 00207 0078,!,!,!
R72 00207 0079,!,!,!
R72 00207 0080,!,!,!
R72 00207 0081,!,!,!
R72 00207 0082,!,!,!
R72 00207 0083,!,!,!
R72 00207 0084,!,!,!
R72 00207 0085,!,!,!
R72 00207 0086,!,!,!
R72 00207 0087,!,!,!
R72 00207 0088,!,!,!
R72 00207 0089,!,!,!
R72 00207 0090,!,!,!
R72 00207 0091,!,!,!
R72 00207 0092,!,!,!
R72 00207 0093,!,!,!
R72 00207 0094,!,!,!
R72 00207 0095,!,!,!
R72 00207 0096,!,!,!
R72 00207 0097,!,!,!
R72 00207 0098,!,!,!
R72 00207 0099,!,!,!
R72 00207 0100,!,!,!
R72 00207 0101,!,!,!
R72 00208 0001,500000,500000,1000000,257840,420600,678440,C1500000
R72 00208 0006,1175390,2779410,3954800,688030,9004770,9692800,C1500000
R72 00208 0011,728980,0,728980,426720,892630,1319350,C1500000
R72 00208 0014,439970,0,439970,257540,0,257540,C1500000
R72 00208 0018,43050,0,43050,25200,0,25200,C1500000
R72 00208 0023,835810,19690,855500,611570,25270,636840,C1500000
R72 00208 0026,1770460,2429540,4200000,849820,1190250,2040070,C1500000
R72 00208 0034,438500,745840,1184340,256680,545140,801820,C1500000
R72 00208 0056,368610,9100,377710,269710,4120,273830,C1500000
R72 00209 0001,68170,1880,70050,129970,2030,132000,C1500000
R72 00209 0003,69990,2100,72090,56900,5440,62340,C1500000
R72 00209 0004,29400,36790,66190,14340,41100,55440,C1500000
R72 00209 0005,53920,59700,113620,26300,68620,94920,C1500000
