ParcelId,OldLand,OldBuilding,OldTotal,NewLand,NewBuilding,NewTotal,Planning,Designation,NBHD
R72 06807 0046,9800,37190,46990,7810,5230,13040,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0057,6270,0,6270,4890,0,4890,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0047,11400,52110,63510,9390,42680,52070,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0062,9800,45940,55740,7810,60550,68360,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0057,9800,47160,56960,7810,37910,45720,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0017,14310,50910,65220,11320,25980,37300,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0031,11830,43430,55260,9840,35940,45780,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0052,9800,54550,64350,7810,39990,47800,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0064,9800,43740,53540,7810,36770,44580,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0072,10970,51700,62670,9020,42040,51060,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0028,12110,41990,54100,10110,27070,37180,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0027,12110,46790,58900,10110,30730,40840,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0038,11120,47640,58760,9120,30770,39890,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0041,9800,33300,43100,7810,32760,40570,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0067,11270,59950,71220,8960,62090,71050,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0022,9700,45110,54810,7750,28300,36050,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0027,9600,45810,55410,7710,31690,39400,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0026,9600,46330,55930,7710,22060,29770,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0032,11120,40320,51440,9120,34090,43210,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0034,11540,52710,64250,9530,31930,41460,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0029,12110,11810,23920,10110,35400,45510,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0060,12830,65560,78390,10790,42880,53670,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0046,12830,43460,56290,10750,35770,46520,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0050,11520,62390,73910,9160,36600,45760,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0037,9800,24030,33830,7810,24860,32670,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0064,12830,37380,50210,10790,42680,53470,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0055,9800,44280,54080,7810,38760,46570,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0025,11440,43040,54480,9360,31640,41000,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0043,10540,23370,33910,8390,27980,36370,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0052,11400,14910,26310,9390,60870,70260,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0049,9800,44170,53970,7810,15050,22860,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0070,10910,7690,18600,8690,29800,38490,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06603 0001,8100,49190,57290,4420,14150,18570,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0065,9800,53690,63490,7810,47510,55320,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0055,11400,29680,41080,9390,37980,47370,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0058,11030,66070,77100,8770,45970,54740,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0071,10970,49120,60090,9020,40660,49680,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0043,11500,36490,47990,9530,34220,43750,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06809 0005,10730,45360,56090,8670,28620,37290,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0044,11400,46420,57820,9390,46200,55590,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0056,12400,53770,66170,10380,38160,48540,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0053,9800,38590,48390,7810,36330,44140,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0049,11690,46550,58240,9660,49130,58790,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0045,9800,52040,61840,7810,34440,42250,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0030,9600,44730,54330,7710,34030,41740,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06603 0035,9960,26360,36320,6520,31980,38500,FIVE OAKS,HD-1,Graf-Rock-Wroe
