R72 06807 0046,9800,37190,46990
R72 06808 0057,6270,0,6270
R72 06808 0076,!,!,!
R72 06808 0047,11400,52110,63510
R72 06807 0062,9800,45940,55740
R72 06807 0057,9800,47160,56960
R72 06807 0017,14310,50910,65220
R72 06808 0031,11830,43430,55260
R72 06807 0052,9800,54550,64350
R72 06807 0064,9800,43740,53540
R72 06808 0072,10970,51700,62670
R72 06808 0028,12110,41990,54100
R72 06808 0027,12110,46790,58900
R72 06603 0040,!,!,!
R72 06808 0038,11120,47640,58760
R72 06807 0041,9800,33300,43100
R72 06807 0067,11270,59950,71220
R72 06807 0022,9700,45110,54810
R72 06807 0027,9600,45810,55410
R72 06807 0026,9600,46330,55930
R72 06808 0032,11120,40320,51440
R72 06808 0034,11540,52710,64250
R72 06808 0029,12110,11810,23920
R72 06808 0060,12830,65560,78390
R72 06808 0046,12830,43460,56290
R72 06807 0078,!,!,!
R72 06807 0071,!,!,!
R72 06807 0050,11520,62390,73910
R72 06808 0080,!,!,!
R72 06807 0037,9800,24030,33830
R72 06808 0064,12830,37380,50210
R72 06807 0055,9800,44280,54080
R72 06808 0025,11440,43040,54480
R72 06807 0043,10540,23370,33910
R72 06808 0052,11400,14910,26310
R72 06807 0049,9800,44170,53970
R72 06808 0066,!,!,!
R72 06807 0070,10910,7690,18600
R72 06807 0080,!,!,!
R72 06603 0001,8100,49190,57290
R72 06807 0065,9800,53690,63490
R72 06808 0055,11400,29680,41080
R72 06807 0058,11030,66070,77100
R72 06808 0071,10970,49120,60090
R72 06603 0002,!,!,!
R72 06808 0043,11500,36490,47990
R72 06809 0005,10730,45360,56090
R72 06808 0044,11400,46420,57820
R72 06808 0056,12400,53770,66170
R72 06807 0053,9800,38590,48390
R72 06808 0049,11690,46550,58240
R72 06807 0045,9800,52040,61840
R72 06807 0030,9600,44730,54330
R72 06808 0077,!,!,!
R72 06603 0035,9960,26360,36320
R72 06809 0004,10700,21300,32000
R72 06808 0069,11400,42830,54230
R72 06603 0039,7660,14010,21670
R72 06807 0042,9800,45990,55790
R72 06807 0079,!,!,!
R72 06808 0037,11690,45440,57130
R72 06807 0056,9800,50250,60050
R72 06807 0025,9720,44110,53830
R72 06807 0081,!,!,!
R72 06807 0048,9800,33240,43040
R72 06807 0036,4900,0,4900
R72 06807 0076,!,!,!
R72 06808 0079,!,!,!
R72 06807 0028,9600,37040,46640
R72 06807 0054,9800,41060,50860
R72 06807 0044,9800,42360,52160
R72 06808 0078,!,!,!
R72 06807 0032,10080,45250,55330
R72 06807 0029,9600,34560,44160
R72 06808 0058,12690,47930,60620
R72 06807 0019,10910,39350,50260
R72 06808 0075,!,!,!
R72 06807 0051,10900,49800,60700
R72 06807 0023,9700,51700,61400
R72 06808 0054,11400,41670,53070
R72 06807 0035,9800,48070,57870
R72 06808 0053,12830,51490,64320
R72 06807 0069,!,!,!
R72 06807 0020,!,!,!
R72 06807 0031,9600,38520,48120
R72 06807 0018,!,!,!
R72 06807 0040,9800,49500,59300
R72 06807 0047,9800,44360,54160
R72 06603 0024,8460,5960,14420
R72 06808 0030,13540,36380,49920
R72 06808 0041,14400,44800,59200
R72 06808 0039,12110,43780,55890
R72 06808 0033,11120,44560,55680
R72 06807 0038,9800,40360,50160
R72 06808 0036,11120,49970,61090
R72 06808 0068,11400,58810,70210
R72 06808 0073,10970,48460,59430
R72 06807 0063,9800,47460,57260
R72 06807 0024,5600,19590,25190
R72 06807 0068,11880,21270,33150
R72 06807 0034,11030,63480,74510
R72 06808 0067,11690,54820,66510
R72 06808 0070,11400,45980,57380
R72 06808 0061,12830,58370,71200
R72 06808 0045,11400,46390,57790
R72 06807 0066,10050,47950,58000
R72 06807 0021,9700,34310,44010
R72 06807 0061,9800,36140,45940
R72 06808 0063,12830,49960,62790
R72 06808 0062,12830,46270,59100
R72 06808 0042,12390,47670,60060
R72 06808 0050,11260,51130,62390
R72 06807 0059,9410,58280,67690
R72 06807 0039,9800,24960,34760
R72 06808 0024,12180,49670,61850
R72 06808 0059,18420,65400,83820
R72 06807 0033,10540,42940,53480
R72 06808 0026,10970,50510,61480
R72 06808 0035,11120,47780,58900
R72 06808 0065,14250,23910,38160
R72 06808 0048,12830,64770,77600
R72 06604 0014,3820,51620,55440
R72 06808 0051,12830,49010,61840
R72 06807 0060,9800,29730,39530
R72 06707 0051,!,!,!
R72 06901 0034,!,!,!
R72 06902 0007,7160,0,7160
R72 06902 0035,!,!,!
R72 06901 0033,!,!,!
R72 06902 0034,!,!,!
R72 06901 0001,16920,67750,84670
R72 06902 0033,!,!,!
R72 06901 0030,!,!,!
R72 06901 0003,14150,71100,85250
R72 06901 0005,6010,0,6010
R72 06901 0009,5840,0,5840
